Id	AVTRRT__Contact_Candidate__c	AVTRRT__Job__c	AVTRRT__Job_Title__c	AVTRRT__Stage__c
a0Db000000022CqEAI	003b0000008ZJ96AAG	NULL	Agile BI Project Manager	Closed - Won
a0Db000000027lAEAQ	003b0000008ZsnmAAC	NULL	Senior Powercenter with Teradata skills	Submitted to Account Manager
a0Db00000002WcHEAU	003b000000Ad7gDAAR	NULL	SAS FM specialist	Interviewing
a0Db00000003wg8EAA	003b000000DApbeAAD	NULL	BI Solution Architect	New Application
a0Db00000004EXhEAM	003b000000AdWHvAAN	NULL	Teradata ETL developer	Submitted to Account Manager
a0Db0000002z8B9EAI	003b000000DCBPxAAP	NULL	IT lead	Submitted to Account Manager
a0Db0000003pHJOEA2	003b000000F0EO9AAN	NULL	Teradata ETL developer	Reapplied By Candidate
a0Db0000003prksEAA	003b000000AbXA9AAN	NULL	Senior Datastage Developer	Closed - Won
a0Db0000003prlCEAQ	003b0000003xtf9AAA	NULL	Senior Datastage Developer	Closed - Won
a0Db0000003prlREAQ	003b000000DCqIAAA1	NULL	Senior Datastage Developer	Closed - Won
a0Db00000041MGFEA2	003b000000FzPXeAAN	NULL	Front End Module Designer	Submitted to Account Manager
a0Db00000041spmEAA	003b000000HJEWuAAP	NULL	Front End Module Designer	Submitted to Account Manager
a0Db00000041vb7EAA	003b000000HJZzmAAH	NULL	Senior Business Objects Consultant	New Application
a0Db000000420yzEAA	003b000000AdF1EAAV	NULL	Business Intelligence Tester	Interviewing
a0Db000000420z4EAA	003b000000HJxV4AAL	NULL	Business Intelligence Tester	Submitted to Account Manager
a0Db00000042wayEAA	003b000000F212GAAR	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wb3EAA	003b000000DCO1OAAX	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wbDEAQ	003b0000008cP4jAAE	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wbIEAQ	003b0000008ZxYqAAK	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbNEAQ	003b0000003yBs3AAE	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbSEAQ	003b000000FwRkWAAV	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbXEAQ	003b0000003xttwAAA	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbcEAA	003b0000008aLy6AAE	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbhEAA	003b00000062eyxAAA	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbrEAA	003b000000AdWHvAAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wbwEAA	003b000000F0EO9AAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wc1EAA	003b0000008ZivQAAS	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wcGEAQ	003b000000FwVA1AAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wcfEAA	003b000000DBwFpAAL	NULL	Configuration Manager	Interviewing
a0Db00000042wnVEAQ	003b000000FwI17AAF	NULL	IT lead	Interviewing
a0Db00000042woCEAQ	003b0000008aLy6AAE	NULL	BI Project Leader / ETL design lead	Submitted to Account Manager
a0Db00000042woHEAQ	003b0000008aLeHAAU	NULL	BI Project Leader / ETL design lead	Submitted to Account Manager
a0Db00000042wobEAA	003b0000003xtf9AAA	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wogEAA	003b0000003zG55AAE	NULL	Senior Datastage Developer	Interviewing
a0Db00000042wolEAA	003b0000008ZxYqAAK	NULL	Senior Datastage Developer	Interviewing
a0Db00000042woqEAA	003b0000003yVP6AAM	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wovEAA	003b0000003zNunAAE	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wp5EAA	003b000000AdF0LAAV	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpAEAQ	003b0000008bNEBAA2	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpKEAQ	003b000000AdFU0AAN	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpPEAQ	003b000000AdGxlAAF	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wq9EAA	003b000000F2EubAAF	NULL	BI Roll-out manager	Submitted to Account Manager
a0Db00000042wqIEAQ	003b000000IbS0HAAV	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqNEAQ	003b000000F2MbmAAF	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqOEAQ	003b00000062mbwAAA	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqmEAA	003b000000F24VJAAZ	NULL	BI Build Manager	Interviewing
a0Db00000042wqwEAA	003b000000AdN2jAAF	NULL	BI Roll-out manager	Interviewing
a0Db00000042wr6EAA	003b000000FyNJmAAN	NULL	BI Roll-out manager	Interviewing
a0Db00000042wrBEAQ	003b000000F29kJAAR	NULL	BI Roll-out manager	Interviewing
a0Db00000042wrfEAA	003b0000005rgdhAAA	NULL	BI Solution Architect	Interviewing
a0Db00000042wrpEAA	003b000000F2F3OAAV	NULL	BI Solution Architect	Submitted to Account Manager
a0Db00000042wruEAA	003b000000F05bfAAB	NULL	Business Intelligence Tester	Submitted to Account Manager
a0Db000000430c0EAA	003b000000IcYImAAN	NULL	BI Business Test Analyst	New Application
a0Db000000430yDEAQ	003b000000IcamDAAR	NULL	Front End Module Designer	New Application
a0Db00000043BFGEA2	003b000000K7JoSAAV	NULL	BI Solution Architect	New Application
a0Db0000006h3jkEAA	003b000000HJZzmAAH	NULL	Business Intelligence Tester	Interviewing
a0Db0000006h56zEAA	003b000000K7MXyAAN	NULL	Business Intelligence Tester	Closed - Won
a0Db0000007U9jsEAC	003b000000LDMztAAH	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000093am0EAA	003b000000M1u6XAAR	NULL	BI Build Manager	New Application
a0Db0000009PfvIEAS	003b000000AbVwPAAV	NULL	Senior Datastage Developer	Submitted to Account Manager
