company-externalId,client_id,company-name,company-phone,company-website,company-locationAddress,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationName,company-document,insert_timestamp,company-owners,company-note
38074,1093620,test,,,test,,,,,,,15/04/2008 12:43:36,,"ID: 1093620
Status: Incomplete
Created By: Bond 01
Last Contacted: 2008-04-15
By: Bond 01
Last Updated: 2008-06-03
By: Eric Thwaite
Last Perm Job: 2008-04-15
Managed By: Bond 01
Contract: Bond 01
"
39660,1093621,Test Client,,,Test Road,,,,,,,20/05/2008 16:09:04,,"ID: 1093621
Status: Incomplete
Created By: Bond 01
Last Contacted: 2008-05-23
By: Bond 01
Last Updated: 2008-06-03
By: Eric Thwaite
Last Perm Job: 2008-05-20
Managed By: Bond 01
Last Contract Job: 2008-05-20
Managed By: Bond 01
Contract: Bond 01
"
40239,1093622,Dunnhumby,02088 329 222,www.dunnhumby.com,"Aurora House, 71-75 Uxbridge Road",London,,W5 5SL,GB,"London, UNITED KINGDOM",,30/05/2008 09:45:31,Eric@initi8recruitment.com ,"ID: 1093622
Status: Active
Created By: Eric Thwaite
Last Contacted: 2016-03-10
By: Danielle Green
Last Updated: 2018-08-23
By: Karen Hellier
Last Perm Job: 2015-03-10
Managed By: Marcin  Hordyniec
Last Contract Job: 2012-07-17
Managed By: Sam King
Contract: Eric Thwaite

General Notes: 
CREATED DATE: Jun 19 2008 10:55AM
Demand 2015 5 analysts @ 35-45

 

3 contractors @ 500/day all in

 

Still world biggest and best insight company – operate in 30 countries and market - Worth 1.2 billion – 3.300 staff globally

 

ML are now onsite to sell them in next 3 months they will not be broken up – they will be sold as one entity

 

Sarah grey – I.T recruiter onsite – I will contact her

 

Would also look @ python hadoop hive people for data scientist types roles

 

John Hiley main poc and cv’s though me OR adam only plse and we have a portal now


"
40266,1093623,test 2,,,test,,,,,,,30/05/2008 11:49:45,,"ID: 1093623
Status: Incomplete
Created By: Bond 01
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Bond 01
"
40401,1093624,5one,0203 051 5151,,"Metro Building , Metro Building (4th Floor)",london,,W6 8DL,,london,,02/06/2008 10:17:39,Eric@initi8recruitment.com ,"ID: 1093624
Status: Incomplete
Created By: Eric Thwaite
Last Contacted: 2015-06-01
By: Adam Oliver
Last Updated: 2016-11-16
By: Sam Covey
Last Perm Job: 2015-05-28
Managed By: Timothy McAllister
Contract: Eric Thwaite
"
40418,1093625,Acxiom,02075 265 100,www.acxiom.co.uk,17 hatfields,London,,se1 8dj,,London,94283003.doc,02/06/2008 10:59:47,Eric@initi8recruitment.com ,"ID: 1093625
Status: Active
Created By: Eric Thwaite
Last Contacted: 2016-05-24
By: Henry Jackson
Last Updated: 2017-05-10
By: Eric Thwaite
Last Perm Job: 2012-09-11
Managed By: Sara Turkes
Contract: Eric Thwaite
"
40422,1093626,American Express,01273 693 555,,"Belgrave House, 76 Buckingham Palace Road",London,,SW1 W 9AX,,London,,02/06/2008 11:07:00,Eric@initi8recruitment.com ,"ID: 1093626
Status: Active
Created By: Eric Thwaite
Last Contacted: 2013-08-01
By: Curtis Reed
Last Updated: 2018-08-06
By: Karen Hellier
Last Perm Job: 2010-06-02
Managed By: Eric Thwaite
Last Contract Job: 2008-06-17
Managed By: Sam King
Contract: Eric Thwaite

General Notes: 
CREATED DATE: Feb 11 2010 11:34AM
Old 0207 number doesnt seem to work. 01273 is a main switchboard to all company lines


"
40501,1093627,CACI,0207 602 6000,www.caci.co.uk,"Kensington Village, Avonmore Road",London,,W14 8TS,,London,,02/06/2008 18:05:17,Eric@initi8recruitment.com ,"ID: 1093627
Status: Active
Created By: Eric Thwaite
Last Contacted: 2018-05-30
By: Eric Thwaite
Last Updated: 2018-05-30
By: Eric Thwaite
Last Perm Job: 2018-05-30
Managed By: Eric Thwaite
Last Contract Job: 2017-02-28
Managed By: Henry Jackson
Contract: Eric Thwaite

General Notes: 
CREATED DATE: Jun 18 2013  4:13PM
Paul Winters €“ Managing Director of Marketing Solutions Group
Tracy Weir €“ VP of Integrated Marketing Solution Group
Matt Hey €“ Director of Consulting (overall head of the consulting group)
Tony Reynolds €“ Director (head of consulting group Telcos)
Head of Consulting Business Group €“ new hire (looking after everything else outside of telco) €“ reporting into Matt Hey.
DDI 020 7605 60** 
first initial then last name@caci.co.uk  eg mjarman@caci.co.uk

"
40502,1093628,Ian Thurman,0207 602 6000,www.caci.co.uk,"Kensington Village, Avonmore Road",London,,W14 8TS,,London,,02/06/2008 18:05:21,Eric@initi8recruitment.com ,"ID: 1093628
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
40503,1093629,Ian Thurman 2,0207 602 6000,www.caci.co.uk,"Kensington Village, Avonmore Road",London,,W14 8TS,,London,48472.html,02/06/2008 18:05:35,Eric@initi8recruitment.com ,"ID: 1093629
Status: Incomplete
Created By: Eric Thwaite
Last Updated: 2008-06-03
By: Eric Thwaite
Contract: Eric Thwaite
"
