application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"39662","38075","SHORTLISTED","2013-12-02"
"39665","38079","SENT","2008-05-23"
"39665","39656","OFFERED","2008-05-23"
"40404","40345","SHORTLISTED","2011-05-24"
"40404","40498","SHORTLISTED","2008-06-02"
"40404","40601","SHORTLISTED","2008-06-03"
"40404","43536","SHORTLISTED","2008-06-19"
"40404","43587","SENT","2008-06-16"
"40404","44543","SHORTLISTED","2008-06-24"
"40404","46595","FIRST_INTERVIEW","2008-07-21"
"40404","46888","SENT","2008-06-24"
"40404","47366","SHORTLISTED","2008-06-27"
"40404","47377","SHORTLISTED","2008-06-27"
"40404","48484","SHORTLISTED","2008-07-03"
"40404","49099","SENT","2008-07-07"
"40404","49233","OFFERED","2008-07-24"
"40404","49680","SENT","2008-07-09"
"40404","50045","FIRST_INTERVIEW","2008-07-24"
"40404","51037","SENT","2008-07-14"
"40404","56433","SENT","2008-07-21"
"40404","57243","FIRST_INTERVIEW","2008-07-24"
"40404","58079","FIRST_INTERVIEW","2008-08-01"
"40404","59359","SENT","2008-08-04"
"40404","216060","SHORTLISTED","2011-07-07"
"40495","43710","SHORTLISTED","2008-06-17"
"40563","40318","SHORTLISTED","2008-06-03"
"40563","40324","SHORTLISTED","2008-06-03"
"40563","40707","SHORTLISTED","2008-06-04"
"40563","43480","SENT","2008-06-16"
"40563","44268","SHORTLISTED","2008-06-24"
"40563","47969","SHORTLISTED","2008-06-30"
"40563","48605","SHORTLISTED","2008-07-03"
"40563","49233","SHORTLISTED","2008-07-23"
"40563","56453","SHORTLISTED","2008-07-23"
"40563","59486","SENT","2008-08-05"
"40570","40572","OFFERED","2008-06-03"
"40591","40607","FIRST_INTERVIEW","2008-06-03"
"40600","44197","FIRST_INTERVIEW","2008-12-09"
"40600","50045","FIRST_INTERVIEW","2008-08-08"
"40600","58079","FIRST_INTERVIEW","2008-08-07"
"40600","59800","FIRST_INTERVIEW","2008-09-01"
"40600","61764","SENT","2008-08-21"
"40600","62938","FIRST_INTERVIEW","2008-09-29"
"40600","63881","FIRST_INTERVIEW","2008-09-15"
"40600","63896","FIRST_INTERVIEW","2008-09-05"
"40600","63910","OFFERED","2008-11-24"
"40600","65715","FIRST_INTERVIEW","2008-09-23"
"40600","69979","FIRST_INTERVIEW","2008-11-25"
"40600","72189","FIRST_INTERVIEW","2008-12-05"
