company-externalId,company-name,company-phone,company-website,company-locationAddress,company-locationCity,company-locationState,company-locationZipCode,company-locationCountry,company-locationName,company-document,company-owners,company-note
88727,Communisis,01132770202,http://www.communisis.com/,Wakefield Road,Leeds,West Yorkshire,LS10 1DU,,"Leeds, West Yorkshire",277385.rtf,,"Status: Active
Last Contacted: 2015-07-13
By: Simran Jutley
Last Perm Job: 2014-03-10
Managed By: Dilpreet Kaur
Contract: Sara Turkes
"
88822,Europ Assistance,0144 4411 999,http://www.europ-assistance.co.uk/,"Sussex House, Perrymount Road",Haywards Heath,West Sussex,RH16 1DN,,"Haywards Heath, West Sussex",,,"Status: Active
Contract: Adam Oliver
"
90044,Boxwood Group,020 3170 7240,www.boxwoodgroup.com,15 Old Bailey,London,London,EC4M 7EF,GB,"London, London, UNITED KINGDOM",1698962.rtf,,"Status: Incomplete
Last Contacted: 2014-08-22
By: Samantha Hogben
Contract: Stephen Hellier
"
90470,Briggs Equipment UK,01543 437 800,www.briggsequipment.co.uk,"Orbital 7, Orbital Way",Cannock,Staffordshire,WS11 8XW,,"Cannock, Staffordshire",,,"Status: Active
Contract: Louise Rowson
"
90490,KPMG 2,0207 3111 000,,"OneCanada Square, Canary Wharf",London,London,E14 5AG,GB,"London, London, UNITED KINGDOM","354074.doc,354075.doc,354076.doc,2317524.pdf,2317525.pdf,94097090.pdf,94097091.pdf,94097092.docx,94097093.docx,94097198.rtf,94125567.docx",,"Status: Active
Last Contacted: 2016-02-25
By: Danielle Green
Last Perm Job: 2014-06-03
Managed By: Danielle Green
Last Contract Job: 2009-08-14
Managed By: Danielle Green
Contract: Danielle Green
"
90522,Amlin,020 7746 1000,www.amlin.com,"St Helen's, 1 Undershaft",London,London,EC3A 8ND,GB,"London, London, UNITED KINGDOM",394563.rtf,,"Status: Active
Last Contacted: 2015-09-18
By: Carl Ashdown
Last Perm Job: 2015-04-16
Managed By: Louise Rowson
Contract: Louise Rowson
"
90522,Amlin,020 7746 1000,www.amlin.com,"St Helen's, 1 Undershaft",London,London,EC3A 8ND,GB,"London, London, UNITED KINGDOM",394563.rtf,,"Status: Active
Last Contacted: 2015-09-18
By: Carl Ashdown
Last Perm Job: 2015-04-16
Managed By: Louise Rowson
Contract: Stephen Hellier
"
90677,European Bank of Reconstruction and Development,02073 386 000,,"One Exchange Square , London",London,,EC2A 2JN,,London,,,"Status: Active
Last Contacted: 2012-09-26
By: Igor Tanjga
Last Contract Job: 2009-07-15
Managed By: Danielle Green
Contract: Danielle Green
"
91289,First Rate Exchange Services,08458 503 050,www.firstrate.co.uk,"First Rate Exchange Services , Falcon House ",Hounslow ,Middlesex ,TW3 3LL,GB,"Hounslow , Middlesex , UNITED KINGDOM",,,"Status: Active
Last Contacted: 2009-06-17
By: Louise Rowson
Contract: Louise Rowson
"
91532,Redburn Partners,0207 000 2020,,75 King William Street,London,,EC4N 7BE,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2010-01-07
By: Danielle Green
Last Perm Job: 2009-06-22
Managed By: Danielle Green
Contract: Danielle Green
"
91605,Capita Financial Services,"02037285000,0870 607 2555",,"42-47 Minories, Ibex House, 2 Floor",London,,EC3N 1DX,GB,"London, UNITED KINGDOM",104605099.rtf,,"Status: Incomplete
Last Contacted: 2015-11-24
By: Denva Bradford
Last Perm Job: 2009-07-02
Managed By: Danielle Green
Contract: Danielle Green
"
91877,Aviva Investors,02078 096 000,,1 Poultry,London,,EC2R 8EJ,GB,"London, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2009-09-15
By: Danielle Green
Contract: Danielle Green
"
92082,HSBC  Global Asset Management,02079 918 888,,78 St Jame's Street,London,,SW1A 1EJ,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2011-04-27
By: Danielle Green
Last Perm Job: 2009-09-17
Managed By: Danielle Green
Last Contract Job: 2009-07-24
Managed By: Danielle Green
Contract: Danielle Green
"
92132,Allianz Global Corporates,02074 881 882 ,,27 Leadenhall Street,London,,EC3A 1AA,GB,"London, UNITED KINGDOM",,,"Status: Active
Last Contacted: 2016-05-03
By: Danielle Green
Last Perm Job: 2012-03-07
Managed By: Sam King
Contract: Danielle Green
"
92242,ABN AMRO,020 7 934 1234,,"250 Bishopsgate, London",London,,EC2M 4AA,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2016-03-01
By: Danielle Green
Contract: Danielle Green
"
92290,Jupiter Asset Managent Ltd,02074 120 703,,1 Grovesnor Place,London,,SW1X 7JJ,GB,"London, UNITED KINGDOM",,,"Status: Incomplete
Last Contacted: 2009-08-03
By: Danielle Green
Contract: Danielle Green
"
