application-positionExternalId,application-candidateExternalId,application-Stage
"39662","38075","SHORTLISTED"
"39665","38079","SENT"
"39665","39656","OFFERED"
"40404","40345","SHORTLISTED"
"40404","40498","SHORTLISTED"
"40404","40601","SHORTLISTED"
"40404","43536","SHORTLISTED"
"40404","43587","SENT"
"40404","44543","SHORTLISTED"
"40404","46595","FIRST_INTERVIEW"
"40404","46888","SENT"
"40404","47366","SHORTLISTED"
"40404","47377","SHORTLISTED"
"40404","48484","SHORTLISTED"
"40404","49099","SENT"
"40404","49233","OFFERED"
"40404","49680","SENT"
"40404","50045","FIRST_INTERVIEW"
"40404","51037","SENT"
"40404","56433","SENT"
"40404","57243","FIRST_INTERVIEW"
"40404","58079","FIRST_INTERVIEW"
"40404","59359","SENT"
"40404","216060","SHORTLISTED"
"40495","43710","SHORTLISTED"
"40563","40318","SHORTLISTED"
"40563","40324","SHORTLISTED"
"40563","40707","SHORTLISTED"
"40563","43480","SENT"
"40563","44268","SHORTLISTED"
"40563","47969","SHORTLISTED"
"40563","48605","SHORTLISTED"
"40563","49233","SHORTLISTED"
"40563","56453","SHORTLISTED"
"40563","59486","SENT"
"40570","40572","OFFERED"
"40591","40607","FIRST_INTERVIEW"
"40600","44197","FIRST_INTERVIEW"
"40600","50045","FIRST_INTERVIEW"
"40600","58079","FIRST_INTERVIEW"
"40600","59800","FIRST_INTERVIEW"
"40600","61764","SENT"
"40600","62938","FIRST_INTERVIEW"
"40600","63881","FIRST_INTERVIEW"
"40600","63896","FIRST_INTERVIEW"
"40600","63910","OFFERED"
"40600","65715","FIRST_INTERVIEW"
"40600","69979","FIRST_INTERVIEW"
"40600","72189","FIRST_INTERVIEW"
"40600","74185","FIRST_INTERVIEW"
"40717","40601","SENT"
"40742","43861","SHORTLISTED"
"40742","71313","SENT"
"40742","72089","SHORTLISTED"
"40786","41320","SHORTLISTED"
"40804","40850","SHORTLISTED"
"40804","41329","SHORTLISTED"
"40804","42514","SENT"
"40804","43309","SENT"
"40804","51058","SHORTLISTED"
"40804","51892","SENT"
"40833","40949","FIRST_INTERVIEW"
"41502","42458","SHORTLISTED"
"41502","43861","SHORTLISTED"
"41523","43861","SHORTLISTED"
"41657","41654","SHORTLISTED"
"41662","38075","SHORTLISTED"
"41662","39526","FIRST_INTERVIEW"
"41662","41663","SHORTLISTED"
"41805","42062","SHORTLISTED"
"41805","48581","SHORTLISTED"
"41805","48582","SHORTLISTED"
"42262","38075","SHORTLISTED"
"42262","38079","FIRST_INTERVIEW"
"42262","39658","OFFERED"
"42488","40931","SENT"
"42488","42139","SENT"
"42488","42259","SHORTLISTED"
"42488","42458","SHORTLISTED"
"42488","42509","SHORTLISTED"
"42488","42514","SENT"
"42488","43861","SENT"
"42495","41320","SHORTLISTED"
"43049","43580","SENT"
"43071","47366","SHORTLISTED"
"43071","63848","FIRST_INTERVIEW"
"43071","74185","OFFERED"
"43071","75397","FIRST_INTERVIEW"
"43071","75485","FIRST_INTERVIEW"
"43071","78200","FIRST_INTERVIEW"
"43071","83945","FIRST_INTERVIEW"
"43076","43172","SHORTLISTED"
"43076","43491","SHORTLISTED"
"43076","43706","SHORTLISTED"
"43076","43737","SHORTLISTED"
"43076","44375","SHORTLISTED"
"43076","44451","SHORTLISTED"
"43076","46616","SHORTLISTED"
"43076","51432","SHORTLISTED"
"43076","60848","SHORTLISTED"
"43076","64105","SHORTLISTED"
"43076","64377","SHORTLISTED"
"43076","67509","SHORTLISTED"
"43076","68024","SHORTLISTED"
"43076","69859","SHORTLISTED"
"43076","71494","SHORTLISTED"
"43076","72665","SHORTLISTED"
"43076","72794","SHORTLISTED"
"43077","43564","SHORTLISTED"
"43077","47969","FIRST_INTERVIEW"
"43077","48002","SHORTLISTED"
"43077","49099","SHORTLISTED"
"43077","57405","SENT"
"43084","44586","SHORTLISTED"
"43084","45241","SHORTLISTED"
"43089","41894","SHORTLISTED"
"43089","43628","SHORTLISTED"
"43094","39526","FIRST_INTERVIEW"
"43094","69113","SENT"
"43097","47339","SHORTLISTED"
"43206","43525","SHORTLISTED"
"43206","44371","SHORTLISTED"
"43206","47987","SHORTLISTED"
"43206","64890","SENT"
"43246","43237","SHORTLISTED"
"43246","47331","SHORTLISTED"
"43246","56552","SENT"
"43246","56556","FIRST_INTERVIEW"
"43246","57229","SHORTLISTED"
"43246","57353","SENT"
"43246","59912","FIRST_INTERVIEW"
"43246","65737","FIRST_INTERVIEW"
"43246","73376","FIRST_INTERVIEW"
"43308","41895","SHORTLISTED"
"43308","43304","SHORTLISTED"
"43422","43403","SENT"
"43422","45233","SHORTLISTED"
"43422","49645","SENT"
"43422","56552","SENT"
"43422","60039","SENT"
"43422","60983","SENT"
"43516","38075","SHORTLISTED"
"43516","39526","SENT"
"43516","39657","SENT"
"43516","41660","SHORTLISTED"
"43516","93632","SENT"
"43529","43445","SENT"
"43529","43587","SENT"
"43529","49125","SENT"
"43558","41737","SENT"
"43558","41894","FIRST_INTERVIEW"
"43558","42516","SENT"
"43558","43059","SENT"
"43558","43628","SENT"
"43558","43678","SENT"
"43558","43697","SENT"
"43558","43721","SENT"
"43558","44586","SENT"
"43558","44611","OFFERED"
"43558","45241","SENT"
"43558","45268","SENT"
"43558","46616","SENT"
"43558","46899","SENT"
"43600","58046","SENT"
"43606","43724","SHORTLISTED"
"43606","48952","FIRST_INTERVIEW"
"43635","41654","SHORTLISTED"
"43635","43059","SHORTLISTED"
"43635","43628","SHORTLISTED"
"43635","44440","SHORTLISTED"
"43675","43628","SHORTLISTED"
"43682","43062","OFFERED"
"43746","41737","SHORTLISTED"
"43746","44586","SHORTLISTED"
"43778","42509","SHORTLISTED"
"43778","42514","FIRST_INTERVIEW"
"43778","43666","SHORTLISTED"
"43778","43786","SHORTLISTED"
"43779","40324","SHORTLISTED"
"44455","40324","SENT"
"44455","43749","SHORTLISTED"
"45244","42458","SHORTLISTED"
"45244","42514","SHORTLISTED"
"46533","45268","SHORTLISTED"
"46582","43811","SHORTLISTED"
"46582","46595","SHORTLISTED"
"46582","51116","SHORTLISTED"
"46609","44543","SHORTLISTED"
"46609","46600","SHORTLISTED"
"46609","63910","FIRST_INTERVIEW"
"46774","44371","SHORTLISTED"
"46774","60407","SHORTLISTED"
"46774","62072","SHORTLISTED"
"46774","62428","SHORTLISTED"
"46774","63061","FIRST_INTERVIEW"
"46785","43914","SHORTLISTED"
"46892","43721","SHORTLISTED"
"46892","43749","SHORTLISTED"
"46892","47366","SHORTLISTED"
"46977","48257","SENT"
"47148","47080","SENT"
"47169","46899","FIRST_INTERVIEW"
"47169","47210","FIRST_INTERVIEW"
"47220","41820","SHORTLISTED"
"47220","48581","SHORTLISTED"
"47220","49069","SHORTLISTED"
"47220","49730","SHORTLISTED"
"47220","60980","FIRST_INTERVIEW"
"47220","64044","SHORTLISTED"
"47220","71313","SHORTLISTED"
"47220","72089","SHORTLISTED"
"47228","62775","SHORTLISTED"
"47259","47210","SHORTLISTED"
"47259","50035","SHORTLISTED"
"47499","47501","SENT"
"47656","42516","SHORTLISTED"
