position-title,job_no,cli_no,Cont_externalID,position-startDate,position-type,position-owner,position-headcount,position-note,position-actualSalary,salary_to,position_currency,position-contractLength,position-payRate
Broker Consultant,10,13,-99913,13-Feb-2004,PERMANENT,GD ,1,"External_ID: 10
Job Status: STOP
Status_Date: 2004-06-30
Benefits: Final Salary, Car (or Allowance), Health Car Benefits",21000,25000,Sterling,1,F
Broker Consultant,12,19,-99919,17-Feb-2004,PERMANENT,GD ,1,"External_ID: 12
Job Status: FILLED
Status_Date: 2004-03-08
Benefits: Pensions, Car Allowance, Health Care",22000,25000,Sterling,1,F
Senior Broker Consultant,13,20,-99920,17-Feb-2004,PERMANENT,GD ,1,"External_ID: 13
Job Status: FILLED
Status_Date: 2004-03-01
Benefits: Car, Pension, Healthcare",30000,35000,Sterling,1,F
IFA Accountancy Practice,15,17,-99917,18-Feb-2004,PERMANENT,JW ,20,"External_ID: 15
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
National Accounts Consultant,17,27,-99927,23-Feb-2004,PERMANENT,GD ,1,"External_ID: 17
Job Status: FILLED
Status_Date: 2004-03-24
Benefits: Car, Pensions, Health Care",25000,30000,Sterling,1,F
Telephone Based Broker Consultant,19,20,-99920,24-Feb-2004,PERMANENT,GD ,1,"External_ID: 19
Job Status: STOP
Status_Date: 2004-04-08
Benefits: Pension,",15000,17000,Sterling,1,F
Senior Broker Consultant,21,27,-99927,26-Feb-2004,PERMANENT,GD ,1,"External_ID: 21
Job Status: FILLED
Status_Date: 2004-05-18
Benefits: Car, Health Care, Pension",25000,28500,Sterling,1,F
Senior Broker Consultant,22,19,-99919,26-Feb-2004,PERMANENT,GD ,1,"External_ID: 22
Job Status: FILLED
Status_Date: 2004-11-17
Benefits: ",25000,29000,Sterling,1,F
Broker Consultant,24,13,-99913,4-Mar-2004,PERMANENT,GD ,1,"External_ID: 24
Job Status: FILLED
Status_Date: 2004-04-07
Benefits: F/salary. Health Care. Car",22000,25000,Sterling,1,F
Broker Consultant,25,30,-99930,5-Mar-2004,PERMANENT,GD ,1,"External_ID: 25
Job Status: FILLED
Status_Date: 2004-03-24
Benefits: ",22000,25000,Sterling,1,F
Broker Consultant,27,19,-99919,8-Mar-2004,PERMANENT,GD ,1,"External_ID: 27
Job Status: FILLED
Status_Date: 2004-11-03
Benefits: Car, Guarntee, Pension",25000,28500,Sterling,1,F
Senior Broker Consultant,28,28,208,8-Mar-2004,PERMANENT,GD ,1,"External_ID: 28
Job Status: FILLED
Status_Date: 2004-09-08
Benefits: Car, Pension, Health Care",28000,34000,Sterling,1,F
Senior Broker Consultant,30,31,194,9-Mar-2004,PERMANENT,GD ,1,"External_ID: 30
Job Status: FILLED
Status_Date: 2004-05-25
Benefits: Car, Pension",25000,30000,Sterling,1,F
2-Senior Broker Consultant,31,31,194,9-Mar-2004,PERMANENT,GD ,1,"External_ID: 31
Job Status: FILLED
Status_Date: 2004-05-17
Benefits: Car, Pension",25000,30000,Sterling,1,F
Sales Manager,32,27,219,10-Mar-2004,PERMANENT,GD ,1,"External_ID: 32
Job Status: FILLED
Status_Date: 2004-05-25
Benefits: ",30000,45000,Sterling,1,F
Investment Specialist,33,34,-99934,11-Mar-2004,PERMANENT,GD ,1,"External_ID: 33
Job Status: FILLED
Status_Date: 2004-05-25
Benefits: Car, Pension",30000,34000,Sterling,1,F
Senior Broker Consultant,34,33,228,12-Mar-2004,PERMANENT,GD ,1,"External_ID: 34
Job Status: FILLED
Status_Date: 2004-04-08
Benefits: Car, Pension",28000,32000,Sterling,1,F
Sales Manager,35,27,219,12-Mar-2004,PERMANENT,GD ,1,"External_ID: 35
Job Status: FILLED
Status_Date: 2004-05-25
Benefits: Usual",45000,50000,Sterling,1,F
Private Banking Manager,36,35,235,15-Mar-2004,PERMANENT,JW ,10,"External_ID: 36
Job Status: LOST
Status_Date: 2006-10-05
Benefits: CA £4200, FS Non Cont Fs Pension, Profit Share 10%",25000,380000,Sterling,1,F
Broker Consultant,37,30,238,15-Mar-2004,PERMANENT,GD ,1,"External_ID: 37
Job Status: FILLED
Status_Date: 2004-04-15
Benefits: ",22000,25000,Sterling,1,F
Senior Consultant,38,1268,240,16-Mar-2004,PERMANENT,JW ,10,"External_ID: 38
Job Status: LOST
Status_Date: 2006-10-05
Benefits: Car Allowance, Pension Scheme",30000,40000,Sterling,1,F
Private Banking Manager,39,38,-99938,17-Mar-2004,PERMANENT,AB ,2,"External_ID: 39
Job Status: STOP
Status_Date: 2009-08-18
Benefits: ",0,0,Sterling,1,F
Broker Consultant,40,19,-99919,17-Mar-2004,PERMANENT,GD ,1,"External_ID: 40
Job Status: FILLED
Status_Date: 2005-01-05
Benefits: ",25000,29000,Sterling,1,F
Senior Broker Consultant,41,30,263,18-Mar-2004,PERMANENT,GD ,1,"External_ID: 41
Job Status: FILLED
Status_Date: 2004-04-30
Benefits: ",22000,29000,Sterling,1,F
Off Shore Specialist,42,13,-99913,26-Mar-2004,PERMANENT,GD ,1,"External_ID: 42
Job Status: FILLED
Status_Date: 2004-06-25
Benefits: ",35000,40000,Sterling,1,F
Senior Broker Consultant,43,48,-99948,30-Mar-2004,PERMANENT,GD ,1,"External_ID: 43
Job Status: FILLED
Status_Date: 2004-06-28
Benefits: ",25000,38000,Sterling,1,F
Senior Broker Consultant,44,28,337,5-Apr-2004,PERMANENT,GD ,1,"External_ID: 44
Job Status: FILLED
Status_Date: 2004-04-27
Benefits: ",25000,32000,Sterling,1,F
Broker Consultant,45,13,-99913,7-Apr-2004,PERMANENT,GD ,1,"External_ID: 45
Job Status: STOP
Status_Date: 2004-06-30
Benefits: ",21000,29000,Sterling,1,F
Broker Consultant,46,25,-99925,8-Apr-2004,PERMANENT,GD ,1,"External_ID: 46
Job Status: STOP
Status_Date: 2004-05-25
Benefits: ",25000,30000,Sterling,1,F
Broker Consultant,47,24,-99924,16-Apr-2004,PERMANENT,GD ,1,"External_ID: 47
Job Status: STOP
Status_Date: 2004-05-25
Benefits: ",0,0,Sterling,1,F
Broker Consultant,47,24,368,16-Apr-2004,PERMANENT,GD ,1,"External_ID: 47
Job Status: STOP
Status_Date: 2004-05-25
Benefits: ",0,0,Sterling,1,F
Mortgage and Protection Consultant,49,34,730,21-Apr-2004,PERMANENT,GD ,1,"External_ID: 49
Job Status: FILLED
Status_Date: 2004-06-30
Benefits: ",27000,33000,Sterling,1,F
Senior Broker Consultant,54,20,-99920,22-Apr-2004,PERMANENT,GD ,1,"External_ID: 54
Job Status: FILLED
Status_Date: 2004-06-25
Benefits: ",30000,35000,Sterling,1,F
Broker Consultant,58,28,337,27-Apr-2004,PERMANENT,GD ,1,"External_ID: 58
Job Status: STOP
Status_Date: 2004-06-29
Benefits: ",20000,25000,Sterling,1,F
Business Development Manager,61,34,-99934,28-Apr-2004,PERMANENT,GD ,1,"External_ID: 61
Job Status: FILLED
Status_Date: 2004-11-15
Benefits: ",32000,34000,Sterling,1,F
Broker Consultant,62,30,858,9-Jun-2004,PERMANENT,GD ,1,"External_ID: 62
Job Status: STOP
Status_Date: 2004-10-04
Benefits: ",25000,29500,Sterling,1,F
Senior Consultant,64,52,548,5-May-2004,PERMANENT,JW ,10,"External_ID: 64
Job Status: FILLED
Status_Date: 2004-10-29
Benefits: ",35000,60000,Sterling,1,F
Senior Broker Consultant,67,27,-99927,7-May-2004,PERMANENT,GD ,1,"External_ID: 67
Job Status: FILLED
Status_Date: 2004-08-31
Benefits: ",25000,29000,Sterling,1,F
Broker Consultant,68,54,577,10-May-2004,PERMANENT,GD ,1,"External_ID: 68
Job Status: FILLED
Status_Date: 2004-10-18
Benefits: ",23000,25000,Sterling,1,F
Broker Consultant,70,27,-99927,12-May-2004,PERMANENT,GD ,1,"External_ID: 70
Job Status: FILLED
Status_Date: 2004-07-30
Benefits: ",25000,30000,Sterling,1,F
Senior Broker Consultant,74,27,-99927,18-May-2004,PERMANENT,GD ,1,"External_ID: 74
Job Status: STOP
Status_Date: 2004-10-01
Benefits: ",25000,32000,Sterling,1,F
Head of Technical,77,56,667,20-May-2004,PERMANENT,JW ,10,"External_ID: 77
Job Status: LOST
Status_Date: 2006-10-05
Benefits: Pension",40000,45000,Sterling,1,F
Existing Client Adviser,81,58,-99958,26-May-2004,PERMANENT,AB ,1,"External_ID: 81
Job Status: STOP
Status_Date: 2009-08-18
Benefits: Car, 4xdis, Phi,",27100,27100,Sterling,1,F
Branch Manager,82,13,741,4-Jun-2004,PERMANENT,GD ,1,"External_ID: 82
Job Status: FILLED
Status_Date: 2004-09-06
Benefits: ",35000,45000,Sterling,1,F
Broker Consultant,83,54,793,9-Jun-2004,PERMANENT,GD ,1,"External_ID: 83
Job Status: STOP
Status_Date: 2004-07-27
Benefits: ",24000,28000,Sterling,1,F
Mortgage & Protection,84,34,797,10-Jun-2004,PERMANENT,GD ,1,"External_ID: 84
Job Status: FILLED
Status_Date: 2004-06-30
Benefits: ",25000,30000,Sterling,1,F
Regional Sales Manager,86,34,-99934,14-Jun-2004,PERMANENT,GD ,1,"External_ID: 86
Job Status: STOP
Status_Date: 2005-01-21
Benefits: ",45000,55000,Sterling,1,F
Broker Consultant,87,13,741,14-Jun-2004,PERMANENT,GD ,1,"External_ID: 87
Job Status: STOP
Status_Date: 2004-09-06
Benefits: ",24000,30000,Sterling,1,F
Corporate Consultant,88,61,-99961,14-Jun-2004,PERMANENT,JW ,10,"External_ID: 88
Job Status: FILLED
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,89,54,811,16-Jun-2004,PERMANENT,GD ,1,"External_ID: 89
Job Status: FILLED
Status_Date: 2004-07-06
Benefits: ",24000,29000,Sterling,1,F
Business Development Manager,90,34,-99934,22-Jun-2004,PERMANENT,GD ,1,"External_ID: 90
Job Status: STOP
Status_Date: 2004-11-15
Benefits: ",27000,35000,Sterling,1,F
Broker Consultant,91,27,-99927,22-Jun-2004,PERMANENT,GD ,1,"External_ID: 91
Job Status: FILLED
Status_Date: 2004-06-25
Benefits: ",25000,29000,Sterling,1,F
IFA,92,62,827,23-Jun-2004,PERMANENT,JW ,11,"External_ID: 92
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,96,13,-99913,28-Jun-2004,PERMANENT,GD ,1,"External_ID: 96
Job Status: STOP
Status_Date: 2005-01-04
Benefits: F/SALARY 5% CONT.",25000,25000,Sterling,1,F
Paraplanner,97,445,850,30-Jun-2004,PERMANENT,JW ,20,"External_ID: 97
Job Status: LOST
Status_Date: 2006-10-05
Benefits: ",18000,20000,Sterling,1,F
IFA,98,66,-99966,2-Jul-2004,PERMANENT,JW ,10,"External_ID: 98
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",35000,40000,Sterling,1,F
Senior Broker Consultant,100,34,-99934,5-Jul-2004,PERMANENT,GD ,1,"External_ID: 100
Job Status: FILLED
Status_Date: 2004-07-22
Benefits: ",30000,40000,Sterling,1,F
Broker Consultant,101,27,-99927,5-Jul-2004,PERMANENT,GD ,1,"External_ID: 101
Job Status: FILLED
Status_Date: 2004-10-01
Benefits: ",27000,32000,Sterling,1,F
Senior Consultant,102,482,343,6-Jul-2004,PERMANENT,JW ,10,"External_ID: 102
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",25000,35000,Sterling,1,F
IFA Corp,104,68,906,12-Jul-2004,PERMANENT,JW ,10,"External_ID: 104
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
National Accounts Manager,105,31,-99931,12-Jul-2004,PERMANENT,GD ,1,"External_ID: 105
Job Status: FILLED
Status_Date: 2004-11-09
Benefits: ",37000,40000,Sterling,1,F
Pension & Investment Consultant,106,69,-99969,13-Jul-2004,PERMANENT,JW ,10,"External_ID: 106
Job Status: STOP
Status_Date: 2006-10-05
Benefits: £4000 Ca, DIS, PHI",30000,35000,Sterling,1,F
Off-Shore Specialist,107,28,-99928,14-Jul-2004,PERMANENT,GD ,1,"External_ID: 107
Job Status: FILLED
Status_Date: 2005-04-07
Benefits: ",45000,50000,Sterling,1,F
Private Client IFA,110,72,954,19-Jul-2004,PERMANENT,JW ,1,"External_ID: 110
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Broker Consultant,113,19,126,20-Jul-2004,PERMANENT,GD ,1,"External_ID: 113
Job Status: FILLED
Status_Date: 2004-08-02
Benefits: ",24000,30000,Sterling,1,F
Broker Consultant,115,27,-99927,21-Jul-2004,PERMANENT,GD ,1,"External_ID: 115
Job Status: STOP
Status_Date: 2004-11-15
Benefits: ",25000,28000,Sterling,1,F
Senior Broker Consultant,118,20,-99920,23-Jul-2004,PERMANENT,GD ,1,"External_ID: 118
Job Status: STOP
Status_Date: 2004-11-03
Benefits: ",30000,35000,Sterling,1,F
Pensions Admin,119,1268,977,26-Jul-2004,PERMANENT,JW ,10,"External_ID: 119
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",18000,20000,Sterling,1,F
Consultant,133,59,1054,24-Aug-2004,PERMANENT,JW ,10,"External_ID: 133
Job Status: STOP
Status_Date: 2004-10-29
Benefits: ",25000,30000,Sterling,1,F
Broker Consultant - Leeds,134,28,1251,31-Aug-2004,PERMANENT,GD ,1,"External_ID: 134
Job Status: FILLED
Status_Date: 2005-02-22
Benefits: ",18000,24000,Sterling,1,F
Executive Broker Consultant,135,25,-99925,1-Sep-2004,PERMANENT,GD ,1,"External_ID: 135
Job Status: FILLED
Status_Date: 2004-11-15
Benefits: Final Salary",30000,32000,Sterling,1,F
Broker Consultant,136,19,-99919,2-Sep-2004,PERMANENT,GD ,1,"External_ID: 136
Job Status: FILLED
Status_Date: 2005-01-24
Benefits: ",24000,27500,Sterling,1,F
Broker Consultant,137,24,-99924,6-Sep-2004,PERMANENT,GD ,1,"External_ID: 137
Job Status: FILLED
Status_Date: 2005-02-25
Benefits: ",24000,28000,Sterling,1,F
Broker Consultant - BHM,138,28,208,8-Sep-2004,PERMANENT,GD ,1,"External_ID: 138
Job Status: FILLED
Status_Date: 2005-03-11
Benefits: ",18000,32000,Sterling,1,F
IFA,140,74,1080,10-Sep-2004,PERMANENT,JW ,10,"External_ID: 140
Job Status: STOP
Status_Date: 2006-10-05
Benefits: ",0,0,Sterling,1,F
Group Risk Consultant,141,31,643,13-Sep-2004,PERMANENT,GD ,1,"External_ID: 141
Job Status: FILLED
Status_Date: 2004-11-04
Benefits: ",27000,35000,Sterling,1,F
2-Group Risk Consultant,142,31,643,13-Sep-2004,PERMANENT,GD ,1,"External_ID: 142
Job Status: FILLED
Status_Date: 2004-11-04
Benefits: ",28000,35000,Sterling,1,F
Broker Consultant,146,13,1064,20-Sep-2004,PERMANENT,GD ,1,"External_ID: 146
Job Status: FILLED
Status_Date: 2005-02-22
Benefits: ",25000,32000,Sterling,1,F
Broker Consultant,147,25,-99925,20-Sep-2004,PERMANENT,GD ,1,"External_ID: 147
Job Status: STOP
Status_Date: 2005-06-06
Benefits: ",25000,35000,Sterling,1,F
