application-positionExternalId,application-candidateExternalId,application-stage
6,3,SHORTLISTED
50,11,SHORTLISTED
294,11,SHORTLISTED
36,11,SHORTLISTED
187,11,SHORTLISTED
251,11,SHORTLISTED
785,11,SHORTLISTED
58,11,SHORTLISTED
186,11,SHORTLISTED
41,11,SHORTLISTED
2,11,SHORTLISTED
54,11,SHORTLISTED
5,11,SHORTLISTED
40,11,SHORTLISTED
217,11,SHORTLISTED
400,11,SHORTLISTED
63,16,SHORTLISTED
469,16,SHORTLISTED
107,16,SHORTLISTED
21,16,SHORTLISTED
483,16,SHORTLISTED
492,16,SHORTLISTED
524,16,SHORTLISTED
401,16,SHORTLISTED
70,16,SHORTLISTED
410,16,SHORTLISTED
1041,17,SHORTLISTED
950,17,SHORTLISTED
1289,17,SHORTLISTED
40,18,SHORTLISTED
336,18,SHORTLISTED
1410,18,SHORTLISTED
1416,18,SHORTLISTED
10,18,SHORTLISTED
524,18,SHORTLISTED
457,18,SHORTLISTED
230,18,SHORTLISTED
1020,18,SHORTLISTED
935,18,SHORTLISTED
480,19,SHORTLISTED
457,19,SHORTLISTED
692,19,SHORTLISTED
347,19,SHORTLISTED
150,19,SHORTLISTED
388,19,SHORTLISTED
264,19,SHORTLISTED
290,19,SHORTLISTED
949,19,SHORTLISTED
159,19,SHORTLISTED
217,19,SHORTLISTED
429,19,SHORTLISTED
493,19,SHORTLISTED
975,19,SHORTLISTED
407,19,SHORTLISTED
32,19,SHORTLISTED
215,19,SHORTLISTED
366,19,SHORTLISTED
60,20,SHORTLISTED
388,20,SHORTLISTED
749,20,SHORTLISTED
70,20,SHORTLISTED
401,20,SHORTLISTED
410,20,SHORTLISTED
483,20,SHORTLISTED
524,20,SHORTLISTED
231,20,SHORTLISTED
739,20,SHORTLISTED
396,21,SHORTLISTED
245,21,SHORTLISTED
57,22,SHORTLISTED
568,22,SHORTLISTED
1497,22,SHORTLISTED
553,22,SHORTLISTED
426,22,SHORTLISTED
2459,22,SHORTLISTED
299,22,SHORTLISTED
216,22,SHORTLISTED
274,22,SHORTLISTED
63,23,SHORTLISTED
231,23,SHORTLISTED
97,23,SHORTLISTED
