company-externalId,company-name,company-locationName,company-locationAddress,company-locationCity,company-locationState,company-locationCountry,company-locationZipCode,company-phone,company-fax,company-website,company-document,company-note
1,Myanmar National Airways,"104 Kanna Road, Kayauktada Township, Yan","104 Kanna Road, Kayauktada Township, Yan",,,,,+95 1 378 603,,http://flymna.com,"13-co-doc.pdf,38-co-doc.pdf,58-co-doc.pdf","BH Company ID:1
Date Added: 05-14-2015
Date Founded: 1948
Status: Active Account
No. of Employees: Retained
Ownership: Private
Company Overview: Myanmar National Airlines is the national flag carrier of Myanmar and has the most extensive route network within our country. Our airline has been in existence for over 65 years and we are one of the oldest and most experienced airlines in Asia.

Major change is underway as we launched our new domestic service in 2014 with fixed schedules, state of the art Reservations and Airport Systems, a brand new Premium Economy on our Embraer 190 aircraft and upgraded food and inflight service throughout our fleet.

In 2015 we start to fly International again after a break of many years providing regional jet services to neighbouring countries. This will allow Myanmar people to stretch their wings alongside us and for us to welcome many more visitors to our country.

Later in 2015 we welcome our brand new Boeing 737 aircraft into our fleet. This will allow us to expand out international network and offer an even better experience for our customers.

MNA is going places and we would like you to come along with us.
"
2,Bell Pottinger,Keier Serviced Offices,Keier Serviced Offices,Yangon,,,,+959250918272,,http://www.bellpottinger.com/,62-co-doc.pdf,"BH Company ID:2
Address 2: 561-567 Merchant Street (No. 801-804)
Date Added: 05-14-2015
Company Description:Bell Pottinger was founded in 1987 and became a partnership following a management buyout from Chime plc in 2012. Our partnership structure is designed to deliver best-in-class public relations services for our clients, embracing all skills and specialisms from across the communications spectrum.

We are headquartered in London, with offices in key centres worldwide, and can draw on both our own teams and from those among our international network of specialist agency partners.  Our 250 public relations specialists, including more than 60 partners, advise a complete range of clients – including world leaders in politics and business; companies in every industrial and commercial sector; and other organisations and individuals.

Managing reputations through every communications medium, we provide a truly integrated approach to modern communications, to ensure that we meet the needs and desires of our clients. This can combine any of our specialist financial, corporate, political, crisis and consumer communications skills (all underpinned by a strong digital expertise) to deliver visible and tangible results for our clients.

Our holding company is called Bell Pottinger Private although we trade simply as Bell Pottinger.
Date Founded: 1987
Status: Active Account
No. of Employees: Contingent
Ownership: Public
Company Overview: Global PR and Communications Agency
"
3,Gallon Concepts,76 Phone Gyi Street,76 Phone Gyi Street,Yangon,,,,+959250292074,,www.hummingbirdyangon.com,46-co-doc.pdf,"BH Company ID:3
Address 2: Lanmadaw Township
Date Added: 05-14-2015
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: Hospitality company opening restaurants across Myanmar
"
4,Dagon Group of Companies 2,Dagon Centre,Dagon Centre,Yangon,,,,+95 95015150,,http://dagon-group.com/,61-co-doc.pdf,"BH Company ID:4
Date Added: 05-14-2015
Company Description:Dagon Group of companies is one of the most highly regarded Groups in Myanmar. Competitive and progressive business group of highly successful companies engaged in leading industries. Since its establishment in 1990, in a short period of time Dagon Group now has more than 15 member companies that are major players in diverse industries such as: Real Estate, Construction & Engineering, Hospitality Management, Retail & Distribution, Food, Agriculture & Plantation, Petroleum & Power.

First of the Dagon Group companies, Dagon International, which started of with 5 employees in 1990 to more than 4500 employees to date as the whole Dagon Group. 

Unfortunately, Dagon International Limited and Dagon Timber Limited had been listed in SDN (Special Designated Nationalities) by United States from 2009 until 23rd April 2015. Through our active reform process of the way Dagon International Ltd. and Dagon Timber Ltd. conduct business and disclosure of our past and present activities to the OFAC (Office of Foreign Asset Control), Dagon Group have successfully prove ourselves of the worthiness to be removed from the SDN list. Dagon Group is committed to further transparency and corporate governance. 

Dagon Group consolidated assets is estimated at equivalent of US$ 350 million. The Group is committed to corporate transparency, high ethical standards and effective stakeholder communications.

Since from the established year to up to date (1990 to 2014), Dagon International Limited had paid Income Tax US$ 169,297.16 and Kyats 1,218,599,995.18, and Commercial Tax US$ 464,221.22 and Kyats 388,097,826.00.

Since from the established year to up to date, Dagon Timber Limited (1992-2014), had paid Income Tax US$ 686,714.67 and Kyats 901,908,464.77, and Commercial Tax US$ 2,102,985.78 and Kyats 10,041,332.00.

Since from the established year to up to date, Global Star Company Limited (2008-2014), had also paid Income Tax US$ 738,755.42 and Kyats 244,088,185, and Commercial Tax US$ 1,764,342.84.

Since from the established year to up to date, Thuriya Energy Company Limited (2010 -2014) had also paid Income Tax Kyats 227,514,476 and Commercial Tax Kyats 474,500,212.

At Dagon Group, we believe that every project, regardless of scale and size, deserves our complete attention from creation through to implementation, complemented with proper maintenance and after-care.

The Dagon Group employs as dynamic management team guided by the “hands-on’’ leadership of its executive chairman and executive directors. Recognizing the rapid pace of business environment and new business support systems, the Group is committed to an on-going training and development program to ensure that its people are kept abreast of change.

It is our aimed to building an achievement-oriented and customer-centric organisation, committed to attaining industry leadership, with aggressive growth plans for the business verticals that it operates in.
We pride ourselves on being a good neighbor and strive to improve the quality of life for those who live and work in the communities we do business.
Date Founded: 1990
Status: Passive Account
No. of Employees: Contingent
Ownership: Private
Company Overview: Dagon Group of companies is one of the most highly regarded Groups in Myanmar. Competitive and progressive business group of highly successful companies engaged in leading industries.
"
5,Anthem Asia,"3rd Floor, 608 Merchant Street","3rd Floor, 608 Merchant Street",,,,Yangon,+95 1 441 3410,,http://anthemasia.com/,53-co-doc.pdf,"BH Company ID:5
Address 2: Yangon
Date Added: 05-16-2015
Company Description:We deploy patient capital that allows entrepreneurs the time they need to develop their businesses. Our investment may fund expansion of existing operations or a joint venture, an acquisition or a takeover. It may take the form of equity or debt or some combination of the two.

We work with local and overseas firms. and investors to identify and execute the right strategic choices from among the multitude of opportunities in today’s Myanmar. The advice covers expansion options, leadership, risk, governance, fund raising, mergers and acquisitions.

We guide the creation of robust corporate, financial and board governance approaches, structures and systems. Such vital “internal plumbing” is a prerequisite for sustained growth and success.

We apply our extensive investment and operational expertise from working successfully with privately-owned and publicly-listed businesses. Our network of connections and industry experience mean our partners benefit from the opportunities and experiences of similar businesses in other parts of Asia.
Date Founded: 2012
Status: Active Account
No. of Employees: Contingent
Ownership: Private
Company Overview: An independent investment & advisory group building sustainable businesses in Myanmar
"
6,Parami Energy Holding,Parami Energy Holding-Myanmar,Parami Energy Holding-Myanmar,Yangon,,MM,,,,http://parami.com/,,"BH Company ID:6
Date Added: 05-18-2015
Date Founded: 2004
Status: Archive
Ownership: Private
Company Overview: Parami started its business in 2004 with the aim of providing high quality services to our corporate and government clients in Myanmar.

We differentiate ourselves from competitors through our corporate values, innovative business model, and straight forward business approach.

Parami has organically grown from being an engineering service provider to the Parami Energy Group of Companies (“Parami Energy”) with core businesses in Oil and Gas, Power, Construction, Banking and Insurance sectors.

In 2010, Parami Energy generated income of more than USD 15 million. The income exceeded more than USD 20 million in 2011. We started with 12 people in 2009 but has since increased to over 200 people in 2012.

We walk the extra mile to be green and responsible corporate citizen of Myanmar. Parami Energy is committed to plant 500,000 trees and to support one third of monastery education in needy areas by 2015. In addition, we provide access to clean water and power to villages and hospitals in remote areas.
"
7,Myanmar Airways International ,"08-02 Sakura Tower, 339 Bogyoke Aung San","08-02 Sakura Tower, 339 Bogyoke Aung San",Yangon,,MM,,+95 1255260,,maiair.com,,"BH Company ID:7
Date Added: 05-18-2015
Company Description:LATEST NEWS
PROUD TO BE A PATA MEMBER


Since 1951 PATA has led from the front as the leading voice and authority on travel and tourism in the Asia Pacific region Thousands of travel professionals belong to 41 active PATA chapters worldwide and participate in a wide range of PATA and industry events.

The PATA Foundation contributes to the sustainable and responsible development of travel and tourism in Asia Pacific through the protection of the environment, the conservation of heritage and we, Myanmar Airways International proudly becomes a member of PATA.
Date Founded: 1951
Status: Unqualified
Ownership: Government
"
8,"South Asia Consulting Co.,Ltd","South Asia Consulting Co.,Ltd-Myanmar","South Asia Consulting Co.,Ltd-Myanmar",,,MM,,,,www.southasia-law.com,"1-co-doc.pdf,2-co-doc.pdf,7-co-doc.pdf,8-co-doc.pdf","BH Company ID:8
Date Added: 05-18-2015
Date Founded: 1991
Status: Active Account
Ownership: Private
Company Overview: Private Practice Law Firm
"
9,Sule Shangri-La Hotel,"223, Sule Pagoda Rd","223, Sule Pagoda Rd",Yangon,,MM,Yangon,(+95) 1242828,(+95) 1242800,http://www.shangri-la.com/yangon/suleshangrila/about/,,"BH Company ID:9
Date Added: 05-19-2015
Company Description:Idyllic luxury
in a modern metropolis

Elegant piano music fills the air as you step into the lobby of Sule Shangri-La, Yangon, which lies at the heart of one of Southeast Asia's most exciting cities. Sule Shangri-La, Yangon, is conveniently located in downtown Yangon near major tourist attractions, such as the Bogyoke Market (Scott Market), Sule Pagoda, China Town and colonial buildings. Sule Shangri-La, Yangon, is only a 10-minute drive from Shwedagon Pagoda, People's Park, the National Museum and Kandawgyi Lake. All of the hotel's rooms and public areas feature the fastest complimentary Wi-Fi Internet access in the country.

From the windows of your spacious room, you look out over historic Yangon at the river, lush tropical trees and shining pagodas. Before dinner, you visit the Shwedagon Pagoda, one of Myanmar's most sacred sites, and watch as the sun sets over its golden dome.  

After a walk through nearby People's Park, you return to the comfort of Sule Shangri-La, Yangon for dinner at the hotel's signature Summer Palace, and round off the evening with a nightcap at the stylish Gallery Bar. 

In the morning, you start with a swim in the outdoor pool, at the fully-equipped Fitness and Recreation Centre. For breakfast, you enjoy a buffet of authentic Burmese and international dishes at Café Sule before stepping out into the bustling streets of Yangon, ready for your business meetings ahead. 

At the end of a good day's work in this important economic hub, you return to the serenity of Sule Shangri-La, Yangon for a peaceful night's rest.
Status: Archive
Ownership: Private
Company Overview: Hotel in Yangon
"
10,Sule Square,Sule Square-Myanmar,Sule Square-Myanmar,,,MM,,,,,,"BH Company ID:10
Date Added: 05-19-2015
Status: Archive
Company Overview: Property development in Yangon
"
