company-externalId,,company-name,company-locationName,company-locationAddress,company-locationCity,company-locationState,company-locationCountry,company-locationZipCode,company-phone,company-fax,company-website,company-document,company-note
2,Bell Pottinger,Bell Pottinger 2,Keier Serviced Offices,Keier Serviced Offices,Yangon,,,,9.59251E+11,,http://www.bellpottinger.com/,62-co-doc.pdf,"BH Company ID:2
Address 2: 561-567 Merchant Street (No. 801-804)
Date Added: 05-14-2015
Company Description:Bell Pottinger was founded in 1987 and became a partnership following a management buyout from Chime plc in 2012. Our partnership structure is designed to deliver best-in-class public relations services for our clients, embracing all skills and specialisms from across the communications spectrum.

We are headquartered in London, with offices in key centres worldwide, and can draw on both our own teams and from those among our international network of specialist agency partners.  Our 250 public relations specialists, including more than 60 partners, advise a complete range of clients – including world leaders in politics and business; companies in every industrial and commercial sector; and other organisations and individuals.

Managing reputations through every communications medium, we provide a truly integrated approach to modern communications, to ensure that we meet the needs and desires of our clients. This can combine any of our specialist financial, corporate, political, crisis and consumer communications skills (all underpinned by a strong digital expertise) to deliver visible and tangible results for our clients.

Our holding company is called Bell Pottinger Private although we trade simply as Bell Pottinger.
Date Founded: 1987
Status: Active Account
No. of Employees: Contingent
Ownership: Public
Company Overview: Global PR and Communications Agency
"
11,Myanmar Investments International Limited,Myanmar Investments International Limited 2,Suite 10-B Pansodan Business Tower,Suite 10-B Pansodan Business Tower,Kyauktada Township,,MM,Yangon,+95 1 391 804 - 7,,http://www.myanmarinvestments.com/,,"BH Company ID:11
Address 2: 123/133 Anawrahta Road
Date Added: 05-19-2015
Company Description:Myanmar Investments' strategy is to invest in a diverse range of opportunities in Myanmar as the country rejoins the ranks of dynamic Asian economies. This is a process which will require substantial investment in the country's infrastructure (telecoms, power and transportation) and to upgrade the logistics and capacity associated with the manufacturing sector and agro-industry. Rekindled consumer demand will require a rapid development of Myanmar's financial services industry and a resurgent tourism industry will require a significant increase in facilities to cope with demand.
 
Myanmar Investments seeks to participate in this exciting journey by acting as a conduit for overseas investors to invest in businesses led by dynamic and visionary Myanmar entrepreneurs, and in some instances will co-invest alongside established international companies.
Status: Archive
Ownership: Public
Company Overview: Private Equity Investment Group in Myanmar
"
20,Aquila,Aquila 2,Aquila-Myanmar,Aquila-Myanmar,,,MM,,,,,,"BH Company ID:20
Date Added: 06-04-2015
Status: Archive
"
31,Signium International,Signium International 2,36-38 (A) Myay Nu Street Sanchaung,36-38 (A) Myay Nu Street Sanchaung,Yangon,,MM,,(+95) 12306068-70,,www.signium.com,,"BH Company ID:31
Address 2: Township
Date Added: 06-09-2015
Date Founded: 1951
Status: Qualified Lead
Ownership: Private
Company Overview: Signium International is a global Executive Search Consulting firm. We provide top quality Consulting Services to national and multinational companies that need to recruit, grow and retain the very best leadership talent in their individual markets. 

Signium International has offices in principle cities of more than 25 countries and a team of 150 consultants. Our consultants possess exceptional experience and deploy high-touch expertise and rigorous processes to consistently deliver the highest quality candidates.
"
32,VDB Loi,VDB Loi 2,65 Sule Pagoda Road & Merchant Street,65 Sule Pagoda Road & Merchant Street,Yangon,,MM,,(+95) 1371902,,www.vdb-loi.com,,"BH Company ID:32
Date Added: 06-09-2015
Date Founded: 2001
Status: Qualified Lead
Ownership: Private
Company Overview: Signium International is a global Executive Search Consulting firm. We provide top quality Consulting Services to national and multinational companies that need to recruit, grow and retain the very best leadership talent in their individual markets. 

Signium International has offices in principle cities of more than 25 countries and a team of 150 consultants. Our consultants possess exceptional experience and deploy high-touch expertise and rigorous processes to consistently deliver the highest quality candidates.
"
37,Parami Energy Group of Companies,Parami Energy Group of Companies 2,15-07 Sakura Tower,15-07 Sakura Tower,Yangon,,MM,,(+95) 1255104,,http//www.parami.biz,"15-co-doc.docx,42-co-doc.pdf","BH Company ID:37
Address 2: Sule Pagoda Road
Date Added: 06-09-2015
Status: Qualified Lead
No. of Employees: Contingent
Ownership: Private
Company Overview: Parami started its business in 2004 with the aim of providing high quality services to our corporate and government clients in Myanmar.

We differentiate ourselves from competitors through our corporate values, innovative business model, and straight forward business approach.

Parami has organically grown from being an engineering service provider to the Parami Energy Group of Companies (“Parami Energy”) with core businesses in Oil and Gas, Power, Construction, Banking and Insurance sectors.

In 2010, Parami Energy generated income of more than USD 15 million. The income exceeded more than USD 20 million in 2011. We started with 12 people in 2009 but has since increased to over 200 people in 2012.

We walk the extra mile to be green and responsible corporate citizen of Myanmar. Parami Energy is committed to plant 500,000 trees and to support one third of monastery education in needy areas by 2015. In addition, we provide access to clean water and power to villages and hospitals in remote areas.
"
63,Sumitomo Mitsui Banking Corporation,Sumitomo Mitsui Banking Corporation 2,1217 12A Floor Sakura Tower 339 Bogyoke,1217 12A Floor Sakura Tower 339 Bogyoke,Yangon,,MM,,(+95) 1 2307380,,https://www.smbcgroup.com/careers,,"BH Company ID:63
Address 2: Aung San Road
Date Added: 06-11-2015
Status: Qualified Lead
Company Overview: Sumitomo Mitsui Banking Corporation (SMBC) was established in 2001 though the merger of Sakura Bank and Sumitomo Bank, the core financial institutions of the Mitsui Group and the Sumitomo Group, respectively, each with its own long history. SMBC as a core member of Sumitomo Mitsui Financial Group (SMFG), work together with other members of the Group to offer customers highly sophisticated, comprehensive financial services globally. For careers in the US please visit us at our new careers page: (smbcgroup.com/careers)
"
79,Red Dot Network,Red Dot Network 2,Red Dot Network-Myanmar,Red Dot Network-Myanmar,Yangon,,MM,,09 791663808,,http://www.reddotnetwork.com/,,"BH Company ID:79
Date Added: 06-14-2015
Status: Active
Company Coverage: info@reddotnetwork.com
Ownership: Private
LinkedIn: (+95) 9250 90 90 33
"
128,Law Firm Group,Law Firm Group 2,Law Firm Group-Myanmar,Law Firm Group-Myanmar,Yangon,,MM,,,,,,"BH Company ID:128
Date Added: 06-14-2015
Status: Active
Ownership: Private
"
184,Myanmar Apex Bank,Myanmar Apex Bank 2,Myanmar Apex Bank-Myanmar,Myanmar Apex Bank-Myanmar,Yangon,,MM,,(+95) 67 418227,,http://www.cbm.gov.mm/,,"BH Company ID:184
Date Added: 06-14-2015
Status: Active
Company Overview:  The Union Bank of Burma was established on 3rd April 1948 by the Act of Union Bank of Burma 1947 and took over the functions of the Yangon branches of the Reserve Bank of India. It did not have the full power of a central bank. In 1st July 1952, the Union Bank of Burma Act was enacted. In accordance with this Act Burma Currency Board was abolished and the Union Bank of Burma Act, 1952, conferred on the Union Bank of Burma all the usual functions of a central bank. The Union Bank of Burma was opened at the corner of Merchant Road and Sule Pagoda Road and had a sole right of currency issue. It was transferred from the Burma Currency Board to the newly created Currency Department of the Union Bank of Burma with effect from 1st July, 1952.
2. The Union Bank of Burma was established with an authorized capital of 40 million Kyats and a paid-up capital of 10 million Kyats by the Government. The People’s Bank of the Union of Burma Act was enacted in 1967 and a monolithic bank known as the People’s Bank of the Union of Burma was established in 1969 with the initial paid-up capital of 200 million Kyats that was fully contributed by the State.
3. After Myanmar adopted the socialist economic system in 1962, all banks were nationalized. Under the People’s Bank of the Union of Burma Act 1967, a monolithic bank was formed. After reformed the administrative system in 1972, the Union Bank of Burma Law of 1975 was promulgated and the banking system was recognized. The name of the People’s Bank of Union Bank of Burma was changed to the Union of Burma Bank. Consequently, four banks, namely the Union of Burma Bank, Myanma Economic Bank, Myanma Foreign Trade Bank and Myanma Agriculture Bank had emerged. Accordance with the 1975 Bank Law, initial paid-up capital of the Union Bank of Burma was 200 million Kyats that was fully contributed by the State.
4. After 1988, Myanma economic system has been transformed from the planned economic system to market oriented system. To develop the financial system which is in line with the market oriented by the Government, and to promote the efficiency of financial activities, the Central Bank of Myanmar Law was enacted in 2nd July 1990. The Central Bank of Myanmar was established with the paid-up capital of 500 million Kyats and of which 200 million Kyats were fully paid-up by the State. According with the new government, was formed on March30, 2011, Central Bank of Myanmar have to become independently to laid down the policies. Central Bank of Myanmar needs to enact monetary policy independently to control the price stability in domestic market and to preserve the internal and external value of the Myanmar currency the kyat. According to the new law of Central Bank (Draft), Central Bank of Myanmar will set up with paid up capital of 300 Billion kyat and of which 100 billion kyat
"
