company-externalId,company-name,company-locationName,company-locationCountry,company-locationZipCode,company-phone,company-website,company-document,company-note
12345,Default Company,,,,,,,
100262-6464-743,Psion Teklogix,South East,,SL8 5AS,44 1628 648800,,,
100354-3887-8322,Crown Prosecution Service (CPS),England,,EC4M 7EX,020 7796 8259 ,,,
100476-8318-13248,Covisint Healthcare,USA - East,,48226,313.227.7000,,,
100492-4167-12186,Balfour Beatty,England,,E14,02072166800,,,
100511-1387-11307,UTV,Northern Ireland,,,44(0)2890328122,,,
100619-6955-6333,Rooster,,,SE1 7QY,0207 953 8774,www.rooster.co.uk,,
10062/113,Executive Connections 2,,,,0207 304 9000,,,
100652-9776-775,TRAC Services,,,,44012 096 12650,http://www.tracservices.co.uk/,,
100669-5563-13172,Retail Impact Ltd,England - UK ,UA,RG7 4SA,07789 298 390,www.retail-impact.co.uk,,"Description: Retail Impact is a consultancy based company that delivers through “an inspirational hands on approach”, from leading and implementing “Boardroom Strategies”, using process management and influencing at all organisational levels. Innovation, motivation, inspiration and coaching, we believe are the keys to our success.

We have operatives who can lead and implement Bespoke Projects within the Retail Sector, using a motivational and inspirational approach.
We can tackle any problem, Big or Small from the Independent Retailer to the Multi-National Corporations.

We have carried out numerous projects from Inception to Launch for a number of “Blue Chip FMCG Companies” some of which are listed within the FTSE 100 Index.

Our core focus is the growth of sales and profit for our customers; by working with both the Retailer and the Supplier, we are able to take an unbiased view to facilitate retail solutions, which benefit not only the company but also the supply base on all product groups that are covered by the team.

We do not consider any task too trivial or any project insurmountable hence our company slogan:
""Your Retail Solutions Realised""
our email addresses take the form of: 
firstname.surname@retail-impact.co.uk 

"
100837-4242-16323,Credit Kudos 2,,,,,,,
100864-3342-14183,Edison Research,England,,WC1V 7EE,+44(0)2030775700,http://www.edisoninvestmentresearch.com/,,
100986-9650-13228,Jesus,France,,,,,,
100995-4326-1614,Tiller Systems,France - France,FR,75011,0176350037,http://www.tillersystems.com/,,
101059-3048-12216,Rock Medical Communications,England,,,020 8392 6926,,,
101097-7317-14352,Conran & Partners,England,,SE1 2YU,02074038899,www.conranandpartners.com,,
101152-5043-1281,Reputation Inc.,London,,,442031784760,,,
101155-8992-13164,CMI Research,USA - East - USA,US,30341,,,,
101214-2457-15168,Groupe NOVAXIA,France - France,FR,75002,/,,,
101387-4169-12216,The Cambridge Research Centre,England,,,020 7953 8464,,,
101581-4623-1678,DigitalMR Ltd,"London, United Kingdom",,,,,,
101589-1554-12216,Capital MS & L,,,,020 7307 5332,,,
101654-8741-1678,Itscollected,"London, United Kingdom",,,,,,
101781-4191-12340,International HIV/AIDS Alliance,England,,,(0)1273 718900 ,,,
