application-positionExternalId,application-candidateExternalId,application-stage
757474-5578-1794,742390-9785-1541,SENT
196012-9740-1521,742390-9785-1541,SHORTLISTED
235791-4852-13134,742392-2880-13143,SHORTLISTED
694245-4487-13176,742392-2880-13143,SHORTLISTED
891574-7009-8207,742407-8047-1110,1ST_INTERVIEW
341017-5191-12208,742407-8047-1110,SHORTLISTED
904546-5902-1564,742413-4779-14149,SHORTLISTED
970881-9317-17128,742414-6542-15195,SHORTLISTED
348139-4559-15202,742414-6542-15195,SHORTLISTED
181490-1966-15125,742432-2545-6324,SHORTLISTED
936079-1998-13143,742432-2545-6324,SHORTLISTED
952576-9335-1141,742432-2545-6324,SHORTLISTED
108028-6153-1414,742432-2545-6324,SHORTLISTED
570960-5473-14245,742432-2545-6324,SHORTLISTED
922745-5543-15161,742434-1284-15161,SHORTLISTED
753602-8537-16187,742439-6605-9309,SHORTLISTED
118619-9749-15174,742439-6605-9309,SHORTLISTED
493149-4692-12132,742439-6605-9309,SHORTLISTED
946933-3471-16279,742439-6605-9309,SHORTLISTED
143762-2271-11136,742439-6605-9309,SHORTLISTED
599668-3712-15100,742439-6605-9309,SHORTLISTED
659596-2498-1541,742439-6605-9309,SHORTLISTED
627672-2943-14308,742439-6605-9309,SHORTLISTED
524269-7091-13149,742439-6605-9309,SHORTLISTED
811013-8950-15236,742439-6605-9309,SHORTLISTED
652920-5710-1238,742439-6605-9309,SHORTLISTED
993805-9608-1632,742472-2927-886,SHORTLISTED
247911-2845-15275,742480-1644-1227,SHORTLISTED
416241-6800-1210,742480-1644-1227,1ST_INTERVIEW
774297-4140-14324,742480-1644-1227,SHORTLISTED
504528-2495-12275,742480-5160-6142,SHORTLISTED
127800-7175-14180,742480-5160-6142,SHORTLISTED
222739-5968-13142,742480-5160-6142,SHORTLISTED
148427-2799-13225,742480-5160-6142,SHORTLISTED
744029-8709-13280,742480-5160-6142,SHORTLISTED
359386-4281-13269,742480-5160-6142,SHORTLISTED
948111-4044-1132,742480-5160-6142,SHORTLISTED
607920-2870-1287,742480-5160-6142,SHORTLISTED
753170-8502-13226,742480-5160-6142,SHORTLISTED
247033-6184-12221,742480-5160-6142,SHORTLISTED
235791-4852-13134,742480-5160-6142,SHORTLISTED
341017-5191-12208,742480-5160-6142,SHORTLISTED
518956-9636-12223,742480-5160-6142,SHORTLISTED
781830-2626-13241,742480-5160-6142,SHORTLISTED
659420-7743-16320,742480-5160-6142,SHORTLISTED
938856-9338-16278,742496-7236-12143,SHORTLISTED
500286-5054-16160,742496-7236-12143,SHORTLISTED
829969-1203-16265,742496-7236-12143,SHORTLISTED
630086-8516-1719,742496-7236-12143,SHORTLISTED
242663-7112-15341,742496-7236-12143,SHORTLISTED
226148-4809-1627,742496-7236-12143,SHORTLISTED
126772-9028-15229,742496-7236-12143,SHORTLISTED
505139-4145-1662,742496-7236-12143,SHORTLISTED
697798-4655-16236,742496-7236-12143,SHORTLISTED
257809-4229-13200,742496-7236-12143,SHORTLISTED
995037-6303-16299,742497-3680-12121,SHORTLISTED
341017-5191-12208,742497-3680-12121,SHORTLISTED
235791-4852-13134,742497-3680-12121,SHORTLISTED
537183-8546-1614,742504-3267-1615,SHORTLISTED
749240-4818-12103,742513-8942-8179,SHORTLISTED
936079-1998-13143,742513-8942-8179,SHORTLISTED
685248-7779-1155,742525-6755-8207,SHORTLISTED
341017-5191-12208,742525-6755-8207,SHORTLISTED
247033-6184-12221,742525-6755-8207,SHORTLISTED
103442-4841-13259,742527-3726-1377,SHORTLISTED
666186-4812-14283,742527-3726-1377,SHORTLISTED
